lon;lat;station_id;address;elev;station_name
-95.2206072339508;29.7680138844331;1;1262 1/2 Mae Drive;9.100000000000000;Houston East C1/G316
-94.0710580966049;30.0364437720737;2;1086 Vermont Avenue;10.100000000000000;Beaumont-Downtown C2/A112/C2002
-97.7602303660492;30.3544053569271;3;3724 North Hills Dr;232.000000000000000;Austin Northwest C3/A322
-97.4342381177467;27.7653365772577;4;Corpus Christi State School (Airport Rd) 902 AIRPORT BLVD;12.000000000000000;Corpus Christi West C4
-95.3261623339508;29.901050506055;8;4510 1/2 Aldine Mail Rd;24.100000000000001;Houston Aldine C8/AF108/X150
-93.7613210728394;30.0852834783152;9;2700 Austin Ave;3.000000000000000;West Orange C9/A141
-95.3976964354935;29.010819007108;11;426 Commerce Street;2.000000000000000;Clute C11/A111
-106.501298302624;31.7682626673131;12;250 Rim Rd;1158.000000000000000;El Paso UTEP C12/A125/X151
-97.3565261939812;32.8058193520663;13;3317 Ross Ave;203.000000000000000;Ft. Worth Northwest C13/AH302
-95.125524840741;29.80268883544;15;1405 Sheldon Road;11.900000000000000;Channelview C15/AH115
-97.2820817415123;32.9225313875654;17;FAA Site off Alta Vista Road;254.000000000000000;Keller C17
-94.7118344822533;32.3787108414974;19;Gregg Co Airport near Longview;109.099999999999990;Longview C19/A127/C644
-97.5554386297844;27.8324077931025;21;9860 La Branch;12.000000000000000;Corpus Christi Tuloso C21
-98.620166;29.51509;23;6655 Bluebird Lane;279.500000000000000;San Antonio Northwest C23
-95.673980840741;30.039553256383;26;16822 Kitzman;50.600000000000001;Northwest Harris Co. C26/A110/X154
-93.9910967169754;29.8974880868878;28;623 Ellias Street;4.000000000000000;Port Arthur West C28/A128/A228
-96.7864388271606;33.1323982036325;31;6590 Hillcrest Road;232.000000000000000;Frisco  C31/C680
-95.1285264754631;29.6699988978795;35;4514 1/2 Durant St;6.000000000000000;Hou.DeerPrk2 C35/235/1001/AFH139FP239
-106.355993310573;31.70383124279;36;8470 Plant Rd;1116.000000000000000;El Paso Lower Valley Sounder C36
-106.402780866049;31.746723143364;37;650 R E Thomason Loop;1122.000000000000000;Ascarate Park SE C37/A332/A172/X159
-97.8723405543213;30.483164863943;38;12200 Lime Creek Rd;327.000000000000000;Audubon C38
-106.455252233951;31.7656619875217;41;800 S San Marcial Street;1122.000000000000000;Chamizal C41/AH126
-98.2910589864197;26.2261827517603;43;2300 North Glasscock;37.000000000000000;Mission C43/AP143
-99.5152698195992;27.517444059627;44;2020 Vidaurri Ave;98.000000000000000;Laredo Vidaurri C44/AFGP144/P244
-95.0155462033951;29.5830233523908;45;4522 Park Rd;;Seabrook Friendship Park C45
-102.341989235493;31.8365853338732;47;Barrett & Monahans Streets;883.000000000000000;Odessa Hays C47/A160
-106.287993763168;31.667530787694;49;320 Old Hueco Tanks Road;1117.700000000000000;Socorro Hueco C49/F312
-97.0269349992287;32.4820649500168;52;2725 Old Fort Worth Road;195.000000000000000;Midlothian OFW C52/A137
-95.4991964694443;29.6957620192985;53;6400 Bissonnet Street;19.500000000000000;Houston Bayland Park C53/A146
-97.1962385388886;33.2190878486562;56;Denton Airport South;183.000000000000000;Denton Airport South C56/A163/X157
-98.5649376516975;29.6320266480368;58;F Range (1000Yd marker off Wilderness Trail) Near Wilderness Rd;311.000000000000000;Camp Bullis C58
-98.3117144305557;29.2753331594669;59;14620 Laguna Rd;150.900000000000010;Calaveras Lake C59
-96.860132772068;32.8200302949617;60;1415 Hinton Street;126.500000000000000;Dallas Hinton St. C401/C60/AH161
-97.0885936618828;32.6563995532599;61;5504 South Collins Street;183.000000000000000;Arlington Municipal Airport C61
-96.808464955864;32.9192034985557;63;12532 1/2 Nuestra Drive;190.800000000000010;Dallas North No.2 C63/C679
-94.3178354958336;29.8639595709696;64;12552 Second St;5.000000000000000;Hamshire C64/C654
-99.5030281094139;27.5018288307525;66;700 Zaragosa St;98.000000000000000;Laredo Bridge C66/AF173
-96.4591632354935;32.936520898967;69;100 E Heath St;168.000000000000000;Rockwall Heath C69
-97.0636672770058;32.9842606499491;70;4100 Fairway Dr;165.000000000000000;Grapevine Fairway C70/A301/X182
-96.3176510007713;32.5649420273031;71;3790 S Houston St;128.000000000000000;Kaufman C71/A304/X071
-106.425795707561;31.8939037354651;72;5050A Yvette Drive;1201.000000000000000;Skyline Park C72
-97.8035065694443;32.4423360904257;73;200 N Gordon Street;226.000000000000000;Granbury C73/C681
-97.4771703932098;32.9879296465117;75;14290 Morris Dido Newark Rd;241.000000000000000;Eagle Mountain Lake C75
-97.9059320516975;32.8687401090585;76;3033 New Authon Rd;347.000000000000000;Parker County C76
-97.4367368932098;32.3535648931851;77;1650 Airport Drive;250.000000000000000;Cleburne Airport C77/C682
-95.4251021402004;30.3503092610865;78;9472A Hwy 1484;77.000000000000000;Conroe Relocated C78/A321
-101.560828131327;35.3827734922776;79;Masterson Pump Station;1079.000000000000000;Pantex 7 C79
-97.4938695543213;25.892500709314;80;344 Porter Drive;6.000000000000000;Brownsville C80/AGP180
-95.4157752822533;32.3439878075333;82;14790 County Road 1145;165.000000000000000;Tyler Airport Relocated C82
-97.4198895652779;27.8028500552477;83;1511 Palm Drive;6.000000000000000;Corpus Christi Palm C83
-95.3925426958336;29.5204355755852;84;4503 Croix Pkwy;19.000000000000000;Manvel Croix Park C84
-94.1674656618828;32.6690136420674;85;Hwy 134 & Spur 449;72.200000000000003;Karnack C85/AFHP303
-97.0055423169754;28.8362047876746;87;106 Mockingbird Lane;34.000000000000000;Victoria C87
-97.5843461158943;33.2217105288402;88;301 E Thompson Street;327.000000000000000;Decatur Thompson C88
-94.7869861237656;29.5462328107571;96;1850 Hawkins Camp Rd;;Smith Point Hawkins Camp C96/C638
-97.4315866067901;27.8044987569083;98;3810 Huisache Street;6.000000000000000;Corpus Christi Huisache C98/A155
-101.587042945679;35.3359563834521;104;SW of FM 293 & FM 2373 Intersection;1079.000000000000000;Pantex 4 A104
-101.580633565278;35.3529498942378;105;W of FM 293 & FM 2373 Intersection;1090.599999999999900;Pantex 5 A105/A205
-95.1785379;29.7647877;114;1504 1/2 Haden Road;13.100000000000000;HRM-3 Haden Road C603/A114
-93.895911727932;29.9611458885233;119;3355 Grandview Ave & 32nd St;5.000000000000000;Groves A119
-106.413178151698;31.7759485845124;123;Cleveland Ave at Clark Dr;1140.000000000000000;El Paso Womble A123
-93.9792467796295;29.8938545257974;131;201 H O Mills Blvd;3.000000000000000;City Service Center/PA A131/C2000
-93.9528794686729;29.9825018267946;136;605 Avenue L;7.000000000000000;Port Neches Avenue L A136
-98.4066336799393;29.4451160607943;140;254 Seale Road;210.900000000000010;San Antonio Seale A140
-95.0181123728394;29.6150127700097;145;3903 1/2 Old Highway 146;;Shore Acres A145
-95.0312403618828;29.7706714240479;148;7210 1/2 Bayway Drive;8.500000000000000;Baytown A148
-95.2384452177467;29.7342462165044;167;1713 2nd Street;10.300000000000001;Galena Park A167
-97.4192567483025;27.807535542792;168;1802 Nueces Bay Blvd (Citgo Refinery Co);6.000000000000000;Corpus Hillcrest A170/A168
-95.2611488754631;29.7062818158836;169;2201A Central St;7.300000000000000;Houston Milby Park A169
-97.7129231543213;30.2632046566537;171;2600B Webberville Rd;152.000000000000000;Austin Webberville Road AF171
-97.465632379089;27.8118215819832;199;5707 Up River Rd;6.000000000000000;Dona Park C635/AF199/F299
-95.0646637007713;29.6720315394341;243;La Porte Airport 2434 Buchanan Street;5.000000000000000;La Porte Airport C243
-98.3125118;29.5877408;301;16289 North Evans Rd #2;226.000000000000000;Selma C301
-93.908985855864;29.9228877909409;303;2200 Jefferson Drive;;Port Arthur Memorial School C303/C689
-95.2575943516975;29.73376868904;304;9525 1/2 Clinton Dr;12.500000000000000;Clinton C403/C304/AH113
-97.3423161762344;32.7591474104734;310;600 1/2 Congress St;165.000000000000000;Haws Athletic Center C310
-93.8672339966049;30.1945283894932;311;Intersection of TX Hwys 62 & 12;6.000000000000000;SETRPC Mauriceville 42 C642/C311/C665
-96.7976808932098;32.7742537804787;312;717 South Akard;145.099999999999990;Convention Center C312
-99.5334268773155;27.5995804394487;313;Mines Road 11601 FM 1472;146.000000000000000;World Trade Bridge C313
-97.2986871932098;27.4269613019081;314;20420 Park Road;;National Seashore C314
-103.1779076;29.3025518;316;Big Bend National Park;1057.000000000000000;BRAVO Big Bend C67/C316/C656/C691
-100.451188044136;28.7046245659724;319;265 Foster Maldonado;255.000000000000000;Eagle Pass C319/C655
-101.909280858488;35.2016014051834;320;6500 Amarillo Blvd West;1122.000000000000000;Amarillo Texas A&M C320
